ubuntu@ubuntu:~$ sudo intel_reg dump
                    GEN8_MASTER_IRQ (0x00044200): 0x80000000
                  PLANE_BUF_CFG_5_A (0x0007067c): 0x00000000
                  PLANE_BUF_CFG_6_A (0x0007077c): 0x00000000
                  PLANE_BUF_CFG_7_A (0x0007087c): 0x00000000
                PLANE_COLOR_CTL_1_A (0x000701cc): 0x00002000
                PLANE_COLOR_CTL_2_A (0x000702cc): 0x00000000
                PLANE_COLOR_CTL_3_A (0x000703cc): 0x00000000
                PLANE_COLOR_CTL_4_A (0x000704cc): 0x00000000
                PLANE_COLOR_CTL_5_A (0x000705cc): 0x00000000
                PLANE_COLOR_CTL_6_A (0x000706cc): 0x00000000
                PLANE_COLOR_CTL_7_A (0x000707cc): 0x00000000
                   PLANE_KEYMAX_4_A (0x000704a0): 0x00000000
                   PLANE_KEYMAX_5_A (0x000705a0): 0x00000000
                   PLANE_KEYMAX_6_A (0x000706a0): 0x00000000
                   PLANE_KEYMAX_7_A (0x000707a0): 0x00000000
             PLANE_NV12_BUF_CFG_4_A (0x00070578): 0x00000000
             PLANE_NV12_BUF_CFG_5_A (0x00070678): 0x00000000
             PLANE_NV12_BUF_CFG_6_A (0x00070778): 0x00000000
             PLANE_NV12_BUF_CFG_7_A (0x00070878): 0x00000000
                      PLANE_POS_4_A (0x0007048c): 0x00000000
                      PLANE_POS_5_A (0x0007058c): 0x00000000
                      PLANE_POS_6_A (0x0007068c): 0x00000000
                      PLANE_POS_7_A (0x0007078c): 0x00000000
                     PLANE_SIZE_4_A (0x00070490): 0x00000000
                     PLANE_SIZE_5_A (0x00070590): 0x00000000
                     PLANE_SIZE_6_A (0x00070690): 0x00000000
                     PLANE_SIZE_7_A (0x00070790): 0x00000000
                     PLANE_WM_4_A_0 (0x00070540): 0x00000000
                     PLANE_WM_4_A_1 (0x00070544): 0x00000000
                     PLANE_WM_4_A_2 (0x00070548): 0x00000000
                     PLANE_WM_4_A_3 (0x0007054c): 0x00000000
                     PLANE_WM_4_A_4 (0x00070550): 0x00000000
                     PLANE_WM_4_A_5 (0x00070554): 0x00000000
                     PLANE_WM_4_A_6 (0x00070558): 0x00000000
                     PLANE_WM_4_A_7 (0x0007055c): 0x00000000
                     PLANE_WM_5_A_0 (0x00070640): 0x00000000
                     PLANE_WM_5_A_1 (0x00070644): 0x00000000
                     PLANE_WM_5_A_2 (0x00070648): 0x00000000
                     PLANE_WM_5_A_3 (0x0007064c): 0x00000000
                     PLANE_WM_5_A_4 (0x00070650): 0x00000000
                     PLANE_WM_5_A_5 (0x00070654): 0x00000000
                     PLANE_WM_5_A_6 (0x00070658): 0x00000000
                     PLANE_WM_5_A_7 (0x0007065c): 0x00000000
                     PLANE_WM_6_A_0 (0x00070740): 0x00000000
                     PLANE_WM_6_A_1 (0x00070744): 0x00000000
                     PLANE_WM_6_A_2 (0x00070748): 0x00000000
                     PLANE_WM_6_A_3 (0x0007074c): 0x00000000
                     PLANE_WM_6_A_4 (0x00070750): 0x00000000
                     PLANE_WM_6_A_5 (0x00070754): 0x00000000
                     PLANE_WM_6_A_6 (0x00070758): 0x00000000
                     PLANE_WM_6_A_7 (0x0007075c): 0x00000000
                     PLANE_WM_7_A_0 (0x00070840): 0x00000000
                     PLANE_WM_7_A_1 (0x00070844): 0x00000000
                     PLANE_WM_7_A_2 (0x00070848): 0x00000000
                     PLANE_WM_7_A_3 (0x0007084c): 0x00000000
                     PLANE_WM_7_A_4 (0x00070850): 0x00000000
                     PLANE_WM_7_A_5 (0x00070854): 0x00000000
                     PLANE_WM_7_A_6 (0x00070858): 0x00000000
                     PLANE_WM_7_A_7 (0x0007085c): 0x00000000
                 PLANE_WM_TRANS_4_A (0x00070568): 0x00000000
                 PLANE_WM_TRANS_5_A (0x00070668): 0x00000000
                 PLANE_WM_TRANS_6_A (0x00070768): 0x00000000
                 PLANE_WM_TRANS_7_A (0x00070868): 0x00000000
                 PLANE_AUX_DIST_4_B (0x000714c0): 0x00000000
                 PLANE_AUX_DIST_5_B (0x000715c0): 0x00000000
                 PLANE_AUX_DIST_6_B (0x000716c0): 0x00000000
                 PLANE_AUX_DIST_7_B (0x000717c0): 0x00000000
                      PLANE_CTL_4_B (0x00071480): 0x00000000
                      PLANE_CTL_5_B (0x00071580): 0x00000000
                      PLANE_CTL_6_B (0x00071680): 0x00000000
                      PLANE_CTL_7_B (0x00071780): 0x00000000
                  PLANE_BUF_CFG_4_B (0x0007157c): 0x00000000
                  PLANE_BUF_CFG_5_B (0x0007167c): 0x00000000
                  PLANE_BUF_CFG_6_B (0x0007177c): 0x00000000
                  PLANE_BUF_CFG_7_B (0x0007187c): 0x00000000
                PLANE_COLOR_CTL_1_B (0x000711cc): 0x00000000
                PLANE_COLOR_CTL_2_B (0x000712cc): 0x00000000
                PLANE_COLOR_CTL_3_B (0x000713cc): 0x00000000
                PLANE_COLOR_CTL_4_B (0x000714cc): 0x00000000
                PLANE_COLOR_CTL_5_B (0x000715cc): 0x00000000
                PLANE_COLOR_CTL_6_B (0x000716cc): 0x00000000
                PLANE_COLOR_CTL_7_B (0x000717cc): 0x00000000
                   PLANE_KEYMAX_4_B (0x000714a0): 0x00000000
                   PLANE_KEYMAX_5_B (0x000715a0): 0x00000000
                   PLANE_KEYMAX_6_B (0x000716a0): 0x00000000
                   PLANE_KEYMAX_7_B (0x000717a0): 0x00000000
             PLANE_NV12_BUF_CFG_4_B (0x00071578): 0x00000000
             PLANE_NV12_BUF_CFG_5_B (0x00071678): 0x00000000
             PLANE_NV12_BUF_CFG_6_B (0x00071778): 0x00000000
             PLANE_NV12_BUF_CFG_7_B (0x00071878): 0x00000000
                      PLANE_POS_4_B (0x0007148c): 0x00000000
                      PLANE_POS_5_B (0x0007158c): 0x00000000
                      PLANE_POS_6_B (0x0007168c): 0x00000000
                      PLANE_POS_7_B (0x0007178c): 0x00000000
                     PLANE_SIZE_4_B (0x00071490): 0x00000000
                     PLANE_SIZE_5_B (0x00071590): 0x00000000
                     PLANE_SIZE_6_B (0x00071690): 0x00000000
                     PLANE_SIZE_7_B (0x00071790): 0x00000000
                     PLANE_WM_4_B_0 (0x00071540): 0x00000000
                     PLANE_WM_4_B_1 (0x00071544): 0x00000000
                     PLANE_WM_4_B_2 (0x00071548): 0x00000000
                     PLANE_WM_4_B_3 (0x0007154c): 0x00000000
                     PLANE_WM_4_B_4 (0x00071550): 0x00000000
                     PLANE_WM_4_B_5 (0x00071554): 0x00000000
                     PLANE_WM_4_B_6 (0x00071558): 0x00000000
                     PLANE_WM_4_B_7 (0x0007155c): 0x00000000
                     PLANE_WM_5_B_0 (0x00071640): 0x00000000
                     PLANE_WM_5_B_1 (0x00071644): 0x00000000
                     PLANE_WM_5_B_2 (0x00071648): 0x00000000
                     PLANE_WM_5_B_3 (0x0007164c): 0x00000000
                     PLANE_WM_5_B_4 (0x00071650): 0x00000000
                     PLANE_WM_5_B_5 (0x00071654): 0x00000000
                     PLANE_WM_5_B_6 (0x00071658): 0x00000000
                     PLANE_WM_5_B_7 (0x0007165c): 0x00000000
                     PLANE_WM_6_B_0 (0x00071740): 0x00000000
                     PLANE_WM_6_B_1 (0x00071744): 0x00000000
                     PLANE_WM_6_B_2 (0x00071748): 0x00000000
                     PLANE_WM_6_B_3 (0x0007174c): 0x00000000
                     PLANE_WM_6_B_4 (0x00071750): 0x00000000
                     PLANE_WM_6_B_5 (0x00071754): 0x00000000
                     PLANE_WM_6_B_6 (0x00071758): 0x00000000
                     PLANE_WM_6_B_7 (0x0007175c): 0x00000000
                     PLANE_WM_7_B_0 (0x00071840): 0x00000000
                     PLANE_WM_7_B_1 (0x00071844): 0x00000000
                     PLANE_WM_7_B_2 (0x00071848): 0x00000000
                     PLANE_WM_7_B_3 (0x0007184c): 0x00000000
                     PLANE_WM_7_B_4 (0x00071850): 0x00000000
                     PLANE_WM_7_B_5 (0x00071854): 0x00000000
                     PLANE_WM_7_B_6 (0x00071858): 0x00000000
                     PLANE_WM_7_B_7 (0x0007185c): 0x00000000
                 PLANE_WM_TRANS_4_B (0x00071568): 0x00000000
                 PLANE_WM_TRANS_5_B (0x00071668): 0x00000000
                 PLANE_WM_TRANS_6_B (0x00071768): 0x00000000
                 PLANE_WM_TRANS_7_B (0x00071868): 0x00000000
                 PLANE_AUX_DIST_4_C (0x000724c0): 0x00000000
                 PLANE_AUX_DIST_5_C (0x000725c0): 0x00000000
                 PLANE_AUX_DIST_6_C (0x000726c0): 0x00000000
                 PLANE_AUX_DIST_7_C (0x000727c0): 0x00000000
                      PLANE_CTL_4_C (0x00072480): 0x00000000
                      PLANE_CTL_5_C (0x00072580): 0x00000000
                      PLANE_CTL_6_C (0x00072680): 0x00000000
                      PLANE_CTL_7_C (0x00072780): 0x00000000
                  PLANE_BUF_CFG_4_C (0x0007257c): 0x00000000
                  PLANE_BUF_CFG_5_C (0x0007267c): 0x00000000
                  PLANE_BUF_CFG_6_C (0x0007277c): 0x00000000
                  PLANE_BUF_CFG_7_C (0x0007287c): 0x00000000
                PLANE_COLOR_CTL_1_C (0x000721cc): 0x00000000
                PLANE_COLOR_CTL_2_C (0x000722cc): 0x00000000
                PLANE_COLOR_CTL_3_C (0x000723cc): 0x00000000
                PLANE_COLOR_CTL_4_C (0x000724cc): 0x00000000
                PLANE_COLOR_CTL_5_C (0x000725cc): 0x00000000
                PLANE_COLOR_CTL_6_C (0x000726cc): 0x00000000
                PLANE_COLOR_CTL_7_C (0x000727cc): 0x00000000
                   PLANE_KEYMAX_4_C (0x000724a0): 0x00000000
                   PLANE_KEYMAX_5_C (0x000725a0): 0x00000000
                   PLANE_KEYMAX_6_C (0x000726a0): 0x00000000
                   PLANE_KEYMAX_7_C (0x000727a0): 0x00000000
             PLANE_NV12_BUF_CFG_4_C (0x00072578): 0x00000000
             PLANE_NV12_BUF_CFG_5_C (0x00072678): 0x00000000
             PLANE_NV12_BUF_CFG_6_C (0x00072778): 0x00000000
             PLANE_NV12_BUF_CFG_7_C (0x00072878): 0x00000000
                      PLANE_POS_4_C (0x0007248c): 0x00000000
                      PLANE_POS_5_C (0x0007258c): 0x00000000
                      PLANE_POS_6_C (0x0007268c): 0x00000000
                      PLANE_POS_7_C (0x0007278c): 0x00000000
                     PLANE_SIZE_4_C (0x00072490): 0x00000000
                     PLANE_SIZE_5_C (0x00072590): 0x00000000
                     PLANE_SIZE_6_C (0x00072690): 0x00000000
                     PLANE_SIZE_7_C (0x00072790): 0x00000000
                     PLANE_WM_4_C_0 (0x00072540): 0x00000000
                     PLANE_WM_4_C_1 (0x00072544): 0x00000000
                     PLANE_WM_4_C_2 (0x00072548): 0x00000000
                     PLANE_WM_4_C_3 (0x0007254c): 0x00000000
                     PLANE_WM_4_C_4 (0x00072550): 0x00000000
                     PLANE_WM_4_C_5 (0x00072554): 0x00000000
                     PLANE_WM_4_C_6 (0x00072558): 0x00000000
                     PLANE_WM_4_C_7 (0x0007255c): 0x00000000
                     PLANE_WM_5_C_0 (0x00072640): 0x00000000
                     PLANE_WM_5_C_1 (0x00072644): 0x00000000
                     PLANE_WM_5_C_2 (0x00072648): 0x00000000
                     PLANE_WM_5_C_3 (0x0007264c): 0x00000000
                     PLANE_WM_5_C_4 (0x00072650): 0x00000000
                     PLANE_WM_5_C_5 (0x00072654): 0x00000000
                     PLANE_WM_5_C_6 (0x00072658): 0x00000000
                     PLANE_WM_5_C_7 (0x0007265c): 0x00000000
                     PLANE_WM_6_C_0 (0x00072740): 0x00000000
                     PLANE_WM_6_C_1 (0x00072744): 0x00000000
                     PLANE_WM_6_C_2 (0x00072748): 0x00000000
                     PLANE_WM_6_C_3 (0x0007274c): 0x00000000
                     PLANE_WM_6_C_4 (0x00072750): 0x00000000
                     PLANE_WM_6_C_5 (0x00072754): 0x00000000
                     PLANE_WM_6_C_6 (0x00072758): 0x00000000
                     PLANE_WM_6_C_7 (0x0007275c): 0x00000000
                     PLANE_WM_7_C_0 (0x00072840): 0x00000000
                     PLANE_WM_7_C_1 (0x00072844): 0x00000000
                     PLANE_WM_7_C_2 (0x00072848): 0x00000000
                     PLANE_WM_7_C_3 (0x0007284c): 0x00000000
                     PLANE_WM_7_C_4 (0x00072850): 0x00000000
                     PLANE_WM_7_C_5 (0x00072854): 0x00000000
                     PLANE_WM_7_C_6 (0x00072858): 0x00000000
                     PLANE_WM_7_C_7 (0x0007285c): 0x00000000
                 PLANE_WM_TRANS_4_C (0x00072468): 0x00000000
                 PLANE_WM_TRANS_5_C (0x00072468): 0x00000000
                 PLANE_WM_TRANS_6_C (0x00072468): 0x00000000
                 PLANE_WM_TRANS_7_C (0x00072468): 0x00000000
            TRANS_DDI_FUNC_CTL_DSI0 (0x0006b400): 0x00030000
            TRANS_DDI_FUNC_CTL_DSI1 (0x0006bc00): 0x00030000
                  TRANS_HTOTAL_DSI0 (0x0006b000): 0x00000000
                  TRANS_HTOTAL_DSI1 (0x0006b800): 0x00000000
                  TRANS_VTOTAL_DSI0 (0x0006b00c): 0x00000000
                  TRANS_VTOTAL_DSI1 (0x0006b80c): 0x00000000
                      MBUS_ABOX_CTL (0x00045038): 0xa2913050
                    MBUS_DBOX_CTL_A (0x0007003c): 0xb1038c02
                    MBUS_DBOX_CTL_B (0x0007103c): 0x00000000
                    MBUS_DBOX_CTL_C (0x0007203c): 0x00000000
                       DPLL4_ENABLE (0x00046018): 0x00000000
                       DPLL4_CFGCR0 (0x00164294): 0x018001d4
                       DPLL4_CFGCR1 (0x00164298): 0x00002644
                          DPLL0_SSC (0x00164b10): 0x401320ff
                          DPLL1_SSC (0x00164c10): 0x401320ff
                          DPLL4_SSC (0x00164e10): 0xffffffff
                    TRANS_CLK_SEL_D (0x0004614c): 0x00000000
                   PLANE_OFFSET_4_A (0x000704a4): 0x00000000
                   PLANE_OFFSET_5_A (0x000705a4): 0x00000000
                   PLANE_OFFSET_6_A (0x000706a4): 0x00000000
                   PLANE_OFFSET_7_A (0x000707a4): 0x00000000
                   PLANE_KEYMSK_4_A (0x00070498): 0x00000000
                   PLANE_KEYMSK_5_A (0x00070598): 0x00000000
                   PLANE_KEYMSK_6_A (0x00070698): 0x00000000
                   PLANE_KEYMSK_7_A (0x00070798): 0x00000000
                   PLANE_KEYVAL_4_A (0x00070494): 0x00000000
                   PLANE_KEYVAL_5_A (0x00070594): 0x00000000
                   PLANE_KEYVAL_6_A (0x00070694): 0x00000000
                   PLANE_KEYVAL_7_A (0x00070794): 0x00000000
                   PLANE_STRIDE_4_A (0x00070488): 0x00000000
                   PLANE_STRIDE_5_A (0x00070588): 0x00000000
                   PLANE_STRIDE_6_A (0x00070688): 0x00000000
                   PLANE_STRIDE_7_A (0x00070788): 0x00000000
                     PLANE_SURF_4_A (0x0007049c): 0x00000000
                     PLANE_SURF_5_A (0x0007059c): 0x00000000
                     PLANE_SURF_6_A (0x0007069c): 0x00000000
                     PLANE_SURF_7_A (0x0007079c): 0x00000000
                 PLANE_SURFLIVE_4_A (0x000704ac): 0x00000000
                 PLANE_SURFLIVE_5_A (0x000705ac): 0x00000000
                 PLANE_SURFLIVE_6_A (0x000706ac): 0x00000000
                 PLANE_SURFLIVE_7_A (0x000707ac): 0x00000000
                   PLANE_OFFSET_4_B (0x000714a4): 0x00000000
                   PLANE_OFFSET_5_B (0x000715a4): 0x00000000
                   PLANE_OFFSET_6_B (0x000716a4): 0x00000000
                   PLANE_OFFSET_7_B (0x000717a4): 0x00000000
                   PLANE_KEYMSK_4_B (0x00071498): 0x00000000
                   PLANE_KEYMSK_5_B (0x00071598): 0x00000000
                   PLANE_KEYMSK_6_B (0x00071698): 0x00000000
                   PLANE_KEYMSK_7_B (0x00071798): 0x00000000
                   PLANE_KEYVAL_4_B (0x00071494): 0x00000000
                   PLANE_KEYVAL_5_B (0x00071594): 0x00000000
                   PLANE_KEYVAL_6_B (0x00071694): 0x00000000
                   PLANE_KEYVAL_7_B (0x00071794): 0x00000000
                   PLANE_STRIDE_4_B (0x00071488): 0x00000000
                   PLANE_STRIDE_5_B (0x00071588): 0x00000000
                   PLANE_STRIDE_6_B (0x00071688): 0x00000000
                   PLANE_STRIDE_7_B (0x00071788): 0x00000000
                     PLANE_SURF_4_B (0x0007149c): 0x00000000
                     PLANE_SURF_5_B (0x0007159c): 0x00000000
                     PLANE_SURF_6_B (0x0007169c): 0x00000000
                     PLANE_SURF_7_B (0x0007179c): 0x00000000
                 PLANE_SURFLIVE_4_B (0x000714ac): 0x00000000
                 PLANE_SURFLIVE_5_B (0x000715ac): 0x00000000
                 PLANE_SURFLIVE_6_B (0x000716ac): 0x00000000
                 PLANE_SURFLIVE_7_B (0x000717ac): 0x00000000
                   PLANE_OFFSET_4_C (0x000724a4): 0x00000000
                   PLANE_OFFSET_5_C (0x000725a4): 0x00000000
                   PLANE_OFFSET_6_C (0x000726a4): 0x00000000
                   PLANE_OFFSET_7_C (0x000727a4): 0x00000000
                   PLANE_KEYMSK_4_C (0x00072498): 0x00000000
                   PLANE_KEYMSK_5_C (0x00072598): 0x00000000
                   PLANE_KEYMSK_6_C (0x00072698): 0x00000000
                   PLANE_KEYMSK_7_C (0x00072798): 0x00000000
                   PLANE_KEYVAL_4_C (0x00072494): 0x00000000
                   PLANE_KEYVAL_5_C (0x00072594): 0x00000000
                   PLANE_KEYVAL_6_C (0x00072694): 0x00000000
                   PLANE_KEYVAL_7_C (0x00072794): 0x00000000
                   PLANE_STRIDE_4_C (0x00072488): 0x00000000
                   PLANE_STRIDE_5_C (0x00072588): 0x00000000
                   PLANE_STRIDE_6_C (0x00072688): 0x00000000
                   PLANE_STRIDE_7_C (0x00072788): 0x00000000
                     PLANE_SURF_4_C (0x0007249c): 0x00000000
                     PLANE_SURF_5_C (0x0007259c): 0x00000000
                     PLANE_SURF_6_C (0x0007269c): 0x00000000
                     PLANE_SURF_7_C (0x0007279c): 0x00000000
                 PLANE_SURFLIVE_4_C (0x000724ac): 0x00000000
                 PLANE_SURFLIVE_5_C (0x000725ac): 0x00000000
                 PLANE_SURFLIVE_6_C (0x000726ac): 0x00000000
                 PLANE_SURFLIVE_7_C (0x000727ac): 0x00000000
                 PLANE_AUX_DIST_1_D (0x000731c0): 0x00000000
                 PLANE_AUX_DIST_2_D (0x000732c0): 0x00000000
                 PLANE_AUX_DIST_3_D (0x000733c0): 0x00000000
                 PLANE_AUX_DIST_4_D (0x000734c0): 0x00000000
                 PLANE_AUX_DIST_5_D (0x000735c0): 0x00000000
                 PLANE_AUX_DIST_6_D (0x000736c0): 0x00000000
                 PLANE_AUX_DIST_7_D (0x000737c0): 0x00000000
                      PLANE_CTL_1_D (0x00073180): 0x00000000
                      PLANE_CTL_2_D (0x00073280): 0x00000000
                      PLANE_CTL_3_D (0x00073380): 0x00000000
                      PLANE_CTL_4_D (0x00073480): 0x00000000
                      PLANE_CTL_5_D (0x00073580): 0x00000000
                      PLANE_CTL_6_D (0x00073680): 0x00000000
                      PLANE_CTL_7_D (0x00073780): 0x00000000
                  PLANE_BUF_CFG_1_D (0x0007327c): 0x00000000
                  PLANE_BUF_CFG_2_D (0x0007337c): 0x00000000
                  PLANE_BUF_CFG_3_D (0x0007347c): 0x00000000
                  PLANE_BUF_CFG_4_D (0x0007357c): 0x00000000
                  PLANE_BUF_CFG_5_D (0x0007367c): 0x00000000
                  PLANE_BUF_CFG_6_D (0x0007377c): 0x00000000
                  PLANE_BUF_CFG_7_D (0x0007387c): 0x00000000
                PLANE_COLOR_CTL_1_D (0x000731cc): 0x00000000
                PLANE_COLOR_CTL_2_D (0x000732cc): 0x00000000
                PLANE_COLOR_CTL_3_D (0x000733cc): 0x00000000
                PLANE_COLOR_CTL_4_D (0x000734cc): 0x00000000
                PLANE_COLOR_CTL_5_D (0x000735cc): 0x00000000
                PLANE_COLOR_CTL_6_D (0x000736cc): 0x00000000
                PLANE_COLOR_CTL_7_D (0x000737cc): 0x00000000
                   PLANE_OFFSET_1_D (0x000731a4): 0x00000000
                   PLANE_OFFSET_2_D (0x000732a4): 0x00000000
                   PLANE_OFFSET_3_D (0x000733a4): 0x00000000
                   PLANE_OFFSET_4_D (0x000734a4): 0x00000000
                   PLANE_OFFSET_5_D (0x000735a4): 0x00000000
                   PLANE_OFFSET_6_D (0x000736a4): 0x00000000
                   PLANE_OFFSET_7_D (0x000737a4): 0x00000000
                   PLANE_KEYMAX_1_D (0x000731a0): 0x00000000
                   PLANE_KEYMAX_2_D (0x000732a0): 0x00000000
                   PLANE_KEYMAX_3_D (0x000733a0): 0x00000000
                   PLANE_KEYMAX_4_D (0x000734a0): 0x00000000
                   PLANE_KEYMAX_5_D (0x000735a0): 0x00000000
                   PLANE_KEYMAX_6_D (0x000736a0): 0x00000000
                   PLANE_KEYMAX_7_D (0x000737a0): 0x00000000
                   PLANE_KEYMSK_1_D (0x00073198): 0x00000000
                   PLANE_KEYMSK_2_D (0x00073298): 0x00000000
                   PLANE_KEYMSK_3_D (0x00073398): 0x00000000
                   PLANE_KEYMSK_4_D (0x00073498): 0x00000000
                   PLANE_KEYMSK_5_D (0x00073598): 0x00000000
                   PLANE_KEYMSK_6_D (0x00073698): 0x00000000
                   PLANE_KEYMSK_7_D (0x00073798): 0x00000000
                   PLANE_KEYVAL_1_D (0x00073194): 0x00000000
                   PLANE_KEYVAL_2_D (0x00073294): 0x00000000
                   PLANE_KEYVAL_3_D (0x00073394): 0x00000000
                   PLANE_KEYVAL_4_D (0x00073494): 0x00000000
                   PLANE_KEYVAL_5_D (0x00073594): 0x00000000
                   PLANE_KEYVAL_6_D (0x00073694): 0x00000000
                   PLANE_KEYVAL_7_D (0x00073794): 0x00000000
                   PLANE_STRIDE_1_D (0x00073188): 0x00000000
                   PLANE_STRIDE_2_D (0x00073288): 0x00000000
                   PLANE_STRIDE_3_D (0x00073388): 0x00000000
                   PLANE_STRIDE_4_D (0x00073488): 0x00000000
                   PLANE_STRIDE_5_D (0x00073588): 0x00000000
                   PLANE_STRIDE_6_D (0x00073688): 0x00000000
                   PLANE_STRIDE_7_D (0x00073788): 0x00000000
                     PLANE_SURF_1_D (0x0007319c): 0x00000000
                     PLANE_SURF_2_D (0x0007329c): 0x00000000
                     PLANE_SURF_3_D (0x0007339c): 0x00000000
                     PLANE_SURF_4_D (0x0007349c): 0x00000000
                     PLANE_SURF_5_D (0x0007359c): 0x00000000
                     PLANE_SURF_6_D (0x0007369c): 0x00000000
                     PLANE_SURF_7_D (0x0007379c): 0x00000000
                 PLANE_SURFLIVE_1_D (0x000731ac): 0x00000000
                 PLANE_SURFLIVE_2_D (0x000732ac): 0x00000000
                 PLANE_SURFLIVE_3_D (0x000733ac): 0x00000000
                 PLANE_SURFLIVE_4_D (0x000734ac): 0x00000000
                 PLANE_SURFLIVE_5_D (0x000735ac): 0x00000000
                 PLANE_SURFLIVE_6_D (0x000736ac): 0x00000000
                 PLANE_SURFLIVE_7_D (0x000737ac): 0x00000000
                      PLANE_POS_1_D (0x0007318c): 0x00000000
                      PLANE_POS_2_D (0x0007328c): 0x00000000
                      PLANE_POS_3_D (0x0007338c): 0x00000000
                      PLANE_POS_4_D (0x0007348c): 0x00000000
                      PLANE_POS_5_D (0x0007358c): 0x00000000
                      PLANE_POS_6_D (0x0007368c): 0x00000000
                      PLANE_POS_7_D (0x0007378c): 0x00000000
                     PLANE_SIZE_1_D (0x00073190): 0x00000000
                     PLANE_SIZE_2_D (0x00073290): 0x00000000
                     PLANE_SIZE_3_D (0x00073390): 0x00000000
                     PLANE_SIZE_4_D (0x00073490): 0x00000000
                     PLANE_SIZE_5_D (0x00073590): 0x00000000
                     PLANE_SIZE_6_D (0x00073690): 0x00000000
                     PLANE_SIZE_7_D (0x00073790): 0x00000000
                     PLANE_WM_1_D_0 (0x00073240): 0x00000000
                     PLANE_WM_1_D_1 (0x00073244): 0x00000000
                     PLANE_WM_1_D_2 (0x00073248): 0x00000000
                     PLANE_WM_1_D_3 (0x0007324c): 0x00000000
                     PLANE_WM_1_D_4 (0x00073250): 0x00000000
                     PLANE_WM_1_D_5 (0x00073254): 0x00000000
                     PLANE_WM_1_D_6 (0x00073258): 0x00000000
                     PLANE_WM_1_D_7 (0x0007325c): 0x00000000
                     PLANE_WM_2_D_0 (0x00073340): 0x00000000
                     PLANE_WM_2_D_1 (0x00073344): 0x00000000
                     PLANE_WM_2_D_2 (0x00073348): 0x00000000
                     PLANE_WM_2_D_3 (0x0007334c): 0x00000000
                     PLANE_WM_2_D_4 (0x00073350): 0x00000000
                     PLANE_WM_2_D_5 (0x00073354): 0x00000000
                     PLANE_WM_2_D_6 (0x00073358): 0x00000000
                     PLANE_WM_2_D_7 (0x0007335c): 0x00000000
                     PLANE_WM_3_D_0 (0x00073440): 0x00000000
                     PLANE_WM_3_D_1 (0x00073444): 0x00000000
                     PLANE_WM_3_D_2 (0x00073448): 0x00000000
                     PLANE_WM_3_D_3 (0x0007344c): 0x00000000
                     PLANE_WM_3_D_4 (0x00073450): 0x00000000
                     PLANE_WM_3_D_5 (0x00073454): 0x00000000
                     PLANE_WM_3_D_6 (0x00073458): 0x00000000
                     PLANE_WM_3_D_7 (0x0007345c): 0x00000000
                     PLANE_WM_4_D_0 (0x00073540): 0x00000000
                     PLANE_WM_4_D_1 (0x00073544): 0x00000000
                     PLANE_WM_4_D_2 (0x00073548): 0x00000000
                     PLANE_WM_4_D_3 (0x0007354c): 0x00000000
                     PLANE_WM_4_D_4 (0x00073550): 0x00000000
                     PLANE_WM_4_D_5 (0x00073554): 0x00000000
                     PLANE_WM_4_D_6 (0x00073558): 0x00000000
                     PLANE_WM_4_D_7 (0x0007355c): 0x00000000
                     PLANE_WM_5_D_0 (0x00073640): 0x00000000
                     PLANE_WM_5_D_1 (0x00073644): 0x00000000
                     PLANE_WM_5_D_2 (0x00073648): 0x00000000
                     PLANE_WM_5_D_3 (0x0007364c): 0x00000000
                     PLANE_WM_5_D_4 (0x00073650): 0x00000000
                     PLANE_WM_5_D_5 (0x00073654): 0x00000000
                     PLANE_WM_5_D_6 (0x00073658): 0x00000000
                     PLANE_WM_5_D_7 (0x0007365c): 0x00000000
                     PLANE_WM_6_D_0 (0x00073740): 0x00000000
                     PLANE_WM_6_D_1 (0x00073744): 0x00000000
                     PLANE_WM_6_D_2 (0x00073748): 0x00000000
                     PLANE_WM_6_D_3 (0x0007374c): 0x00000000
                     PLANE_WM_6_D_4 (0x00073750): 0x00000000
                     PLANE_WM_6_D_5 (0x00073754): 0x00000000
                     PLANE_WM_6_D_6 (0x00073758): 0x00000000
                     PLANE_WM_6_D_7 (0x0007375c): 0x00000000
                     PLANE_WM_7_D_0 (0x00073840): 0x00000000
                     PLANE_WM_7_D_1 (0x00073844): 0x00000000
                     PLANE_WM_7_D_2 (0x00073848): 0x00000000
                     PLANE_WM_7_D_3 (0x0007384c): 0x00000000
                     PLANE_WM_7_D_4 (0x00073850): 0x00000000
                     PLANE_WM_7_D_5 (0x00073854): 0x00000000
                     PLANE_WM_7_D_6 (0x00073858): 0x00000000
                     PLANE_WM_7_D_7 (0x0007385c): 0x00000000
                 PLANE_WM_TRANS_1_D (0x00073268): 0x00000000
                 PLANE_WM_TRANS_2_D (0x00073368): 0x00000000
                 PLANE_WM_TRANS_3_D (0x00073468): 0x00000000
                 PLANE_WM_TRANS_4_D (0x00073568): 0x00000000
                 PLANE_WM_TRANS_5_D (0x00073668): 0x00000000
                 PLANE_WM_TRANS_6_D (0x00073768): 0x00000000
                 PLANE_WM_TRANS_7_D (0x00073868): 0x00000000
                      CUR_BUF_CFG_D (0x0007317c): 0x00000000
                         CUR_BASE_D (0x00073084): 0x00000000
                          CUR_CTL_D (0x00073080): 0x00000000
                      CUR_FBC_CTL_D (0x000730a0): 0x00000000
                          CUR_POS_D (0x00073088): 0x00000000
